an man on a cat ate John outside a pajamas on Bob on the man by my man with a elephant on the park,"[['PETS', 0.955538], ['SPORTS', 0.0204214], ['SCIENCE', 0.00362209], ['ARTS AND ENTERTAINMENT', 0.00196825], ['HOBBIES AND INTERESTS', 0.000707279]]","[['CATS', 0.34], ['PROFANE CONTENT', 0.24], ['PETS', 0.12], ['NON-STANDARD CONTENT', 0.1]]",True,1,1,20:22:28.436040
my fish by an elephant killed Bob outside a fish by I with my elephant with an cat outside my fish with a man,"[['SPORTS', 0.779383], ['FOOD AND DRINK', 0.0143806], ['HEALTH AND FITNESS', 0.0036536], ['PETS', 0.00354237], ['HOBBIES AND INTERESTS', 0.00199547]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,149,41,20:32:36.799279
my fish by an elephant killed Bob outside a fish by I with my elephant with an cat on my fish with a man,"[['PETS', 0.999968], ['SPORTS', 2.45152e-05], ['FOOD AND DRINK', 3.98146e-07], ['HEALTH AND FITNESS', 9.75543e-08], ['HOBBIES AND INTERESTS', 6.19041e-08]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,150,41,20:32:40.448987
my fish by an elephant killed Bob with a fish by I with my elephant with an cat on my fish with a man,"[['PETS', 0.999941], ['SPORTS', 4.42581e-05], ['FOOD AND DRINK', 7.84424e-07], ['HEALTH AND FITNESS', 2.02833e-07], ['HOBBIES AND INTERESTS', 1.56923e-07]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,151,41,20:32:44.468642
my fish by my elephant killed Bob with a fish by I with my elephant with an cat on my fish with a man,"[['PETS', 0.999925], ['SPORTS', 4.05454e-05], ['FOOD AND DRINK', 1.12128e-06], ['HOBBIES AND INTERESTS', 2.46095e-07], ['ARTS AND ENTERTAINMENT', 2.37362e-07]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,152,41,20:32:48.137378
my fish by my elephant killed Bob with a fish by I with my park with an cat on my fish with a man,"[['PETS', 0.999932], ['SPORTS', 3.66881e-05], ['FOOD AND DRINK', 4.23351e-08], ['HOBBIES AND INTERESTS', 3.79339e-08], ['ARTS AND ENTERTAINMENT', 2.45425e-08]]","[['AQUARIUMS', 0.74], ['PETS', 0.58]]",False,153,41,20:32:52.132168
my fish by my pajamas killed Bob with a fish by I with my park with an cat on my fish with a man,"[['PETS', 0.999931], ['SPORTS', 3.66855e-05], ['SCIENCE', 3.84495e-07], ['HOBBIES AND INTERESTS', 9.4929e-09], ['RELIGION AND SPIRITUALITY', 5.60709e-09]]","[['AQUARIUMS', 0.75], ['PETS', 0.56]]",False,154,41,20:32:56.420399
my fish by my monkey killed Bob with a fish by I with my park with an cat on my fish with a man,"[['PETS', 0.999971], ['SPORTS', 1.57125e-05], ['HOBBIES AND INTERESTS', 1.05842e-08], ['SCIENCE', 5.04401e-09], ['RELIGION AND SPIRITUALITY', 2.40141e-09]]","[['AQUARIUMS', 0.76], ['PETS', 0.55]]",False,155,41,20:33:00.102961
my fish by my monkey killed Bob with a fish by I with my elephant with an cat on my fish with a man,"[['PETS', 0.999976], ['SPORTS', 1.34419e-05], ['HOBBIES AND INTERESTS', 4.67087e-08], ['FOOD AND DRINK', 4.32376e-08], ['ARTS AND ENTERTAINMENT', 1.0731e-08]]","[['AQUARIUMS', 0.74], ['PETS', 0.55]]",False,156,41,20:33:05.256746
my fish by my monkey killed John with a fish by I with my elephant with an cat on my fish with a man,"[['PETS', 0.999957], ['SPORTS', 2.93421e-05], ['RELIGION AND SPIRITUALITY', 1.59354e-06], ['SOCIETY', 1.22415e-06], ['FOOD AND DRINK', 1.04353e-07]]","[['AQUARIUMS', 0.74], ['PETS', 0.56]]",False,157,41,20:33:11.735195
my fish by my monkey walked John with a fish by I with my elephant with an cat on my fish with a man,"[['PETS', 0.999946], ['SPORTS', 3.72105e-05], ['SOCIETY', 1.29308e-06], ['HOBBIES AND INTERESTS', 2.52271e-07], ['FOOD AND DRINK', 9.12775e-08]]","[['AQUARIUMS', 0.74], ['PETS', 0.54]]",False,158,41,20:33:15.751018
my fish by my monkey walked John with a fish by I with my elephant with an pajamas on my fish with a man,"[['SPORTS', 0.534228], ['SOCIETY', 0.0367087], ['SCIENCE', 0.0136106], ['PETS', 0.0070785], ['FOOD AND DRINK', 0.00259104]]","[['AQUARIUMS', 0.76], ['PETS', 0.41]]",False,159,41,20:33:19.473865
my fish by my monkey saw John with a fish by I with my elephant with an pajamas on my fish with a man,"[['SPORTS', 0.521608], ['SOCIETY', 0.0342555], ['SCIENCE', 0.0162419], ['PETS', 0.00389156], ['FOOD AND DRINK', 0.00294994]]","[['AQUARIUMS', 0.76], ['PETS', 0.43]]",False,160,41,20:33:24.691509
my fish by my monkey shot John with a fish by I with my elephant with an pajamas on my fish with a man,"[['SPORTS', 0.613696], ['ARTS AND ENTERTAINMENT', 0.0318599], ['SOCIETY', 0.0161351], ['SCIENCE', 0.0125871], ['PETS', 0.00317559]]","[['AQUARIUMS', 0.75], ['PETS', 0.42]]",False,161,41,20:33:28.416864
my fish by my monkey shot John with a fish by Bob with my elephant with an pajamas on my fish with a man,"[['SPORTS', 0.88412], ['ARTS AND ENTERTAINMENT', 0.0054194], ['SOCIETY', 0.00485112], ['SCIENCE', 0.00264997], ['PETS', 0.000575507]]","[['AQUARIUMS', 0.74], ['PETS', 0.39]]",False,162,41,20:33:32.368856
my fish by my monkey shot John with a fish by Bob with my elephant with the pajamas on my fish with a man,"[['SPORTS', 0.85119], ['SCIENCE', 0.0410306], ['SOCIETY', 0.00540344], ['ARTS AND ENTERTAINMENT', 0.00508017], ['PETS', 0.000519701]]","[['AQUARIUMS', 0.74], ['PETS', 0.39]]",False,163,41,20:33:36.047152
my fish by my monkey shot John with a fish by Bob with my elephant outside the pajamas on my fish with a man,"[['SPORTS', 0.866046], ['SCIENCE', 0.0384744], ['SOCIETY', 0.00674909], ['ARTS AND ENTERTAINMENT', 0.00462837], ['PETS', 0.000371493]]","[['AQUARIUMS', 0.74], ['PETS', 0.39]]",False,164,41,20:33:39.768508
my fish by my monkey walked John with a fish by Bob with my elephant outside the pajamas on my fish with a man,"[['SPORTS', 0.819751], ['SCIENCE', 0.04577], ['SOCIETY', 0.0170887], ['HOBBIES AND INTERESTS', 0.00226686], ['PETS', 0.000912646]]","[['AQUARIUMS', 0.75], ['PETS', 0.39]]",False,165,41,20:33:44.410547
my fish by my monkey walked John with a man by Bob with my elephant outside the pajamas on my fish with a man,"[['SOCIETY', 0.812951], ['SCIENCE', 0.107986], ['SPORTS', 0.027212], ['HOBBIES AND INTERESTS', 0.0181907], ['NON STANDARD CONTENT', 0.0056097]]","[['AQUARIUMS', 0.62], ['PETS', 0.26]]",True,166,42,20:33:48.078350
my fish by a monkey walked John with a man by Bob with my elephant outside the pajamas on my fish with a man,"[['SOCIETY', 0.535107], ['SCIENCE', 0.276793], ['SPORTS', 0.0896152], ['HOBBIES AND INTERESTS', 0.0443753], ['TRAVEL', 0.00349823]]","[['AQUARIUMS', 0.62], ['PETS', 0.26]]",True,167,43,20:33:51.728718
a fish by a monkey walked John with a man by Bob with my elephant outside the pajamas on my fish with a man,"[['SPORTS', 0.459906], ['SCIENCE', 0.255822], ['SOCIETY', 0.210191], ['HOBBIES AND INTERESTS', 0.018576], ['TRAVEL', 0.00146318]]","[['AQUARIUMS', 0.62], ['PETS', 0.26]]",True,168,44,20:33:55.398619
a fish by a monkey walked John with a man by Bob with my elephant outside the pajamas on an fish with a man,"[['SPORTS', 0.533651], ['SCIENCE', 0.252559], ['SOCIETY', 0.158488], ['HOBBIES AND INTERESTS', 0.0169082], ['TRAVEL', 0.00129669]]","[['AQUARIUMS', 0.62], ['PETS', 0.26]]",True,169,45,20:33:59.397503
a fish by a monkey walked John with a man by John with my elephant outside the pajamas on an fish with a man,"[['SOCIETY', 0.999348], ['SCIENCE', 0.000416557], ['SPORTS', 0.000193551], ['HOBBIES AND INTERESTS', 3.31544e-06], ['TRAVEL', 1.91843e-06]]","[['AQUARIUMS', 0.61], ['PETS', 0.25]]",True,170,46,20:34:04.190101
a fish by a monkey walked John with a man by John with my elephant by the pajamas on an fish with a man,"[['SOCIETY', 0.998979], ['SCIENCE', 0.000659708], ['SPORTS', 0.000284657], ['HOBBIES AND INTERESTS', 7.34271e-06], ['TRAVEL', 3.49672e-06]]","[['AQUARIUMS', 0.61], ['PETS', 0.25]]",True,171,47,20:34:08.082341
a fish by a monkey killed John with a man by John with my elephant by the pajamas on an fish with a man,"[['SOCIETY', 0.998795], ['SCIENCE', 0.000750259], ['SPORTS', 0.000255148], ['RELIGION AND SPIRITUALITY', 0.000136052], ['HEALTH AND FITNESS', 1.95324e-06]]","[['AQUARIUMS', 0.6], ['PETS', 0.27]]",True,172,48,20:34:11.703203
a fish by a monkey killed John with a man on John with my elephant by the pajamas on an fish with a man,"[['SOCIETY', 0.997302], ['SCIENCE', 0.00208827], ['RELIGION AND SPIRITUALITY', 0.000335689], ['SPORTS', 0.000206285], ['FOOD AND DRINK', 2.37619e-06]]","[['AQUARIUMS', 0.6], ['PETS', 0.27]]",True,173,49,20:34:18.327028
a fish by a monkey killed John with a man on Bob with my elephant by the pajamas on an fish with a man,"[['SCIENCE', 0.604436], ['RELIGION AND SPIRITUALITY', 0.132074], ['SPORTS', 0.128946], ['SOCIETY', 0.0985989], ['HEALTH AND FITNESS', 0.000871064]]","[['AQUARIUMS', 0.61], ['PETS', 0.28]]",True,174,50,20:34:23.171610
a fish by a monkey killed John with a man on I with my elephant by the pajamas on an fish with a man,"[['SCIENCE', 0.716937], ['RELIGION AND SPIRITUALITY', 0.118333], ['SOCIETY', 0.0807094], ['SPORTS', 0.0584304], ['FOOD AND DRINK', 0.000903878]]","[['AQUARIUMS', 0.63], ['PETS', 0.3]]",True,175,51,20:34:26.877875
a fish by a monkey killed John with a man on I with my elephant by the pajamas on an fish on a man,"[['SCIENCE', 0.729437], ['RELIGION AND SPIRITUALITY', 0.120834], ['SOCIETY', 0.0679303], ['SPORTS', 0.0669622], ['STYLE AND FASHION', 0.000657901]]","[['AQUARIUMS', 0.63], ['PETS', 0.3]]",True,176,52,20:34:30.828031
a fish by a monkey ate John with a man on I with my elephant by the pajamas on an fish on a man,"[['SCIENCE', 0.939292], ['SPORTS', 0.041112], ['SOCIETY', 0.0157644], ['FOOD AND DRINK', 0.000164086], ['HEALTH AND FITNESS', 0.000107169]]","[['AQUARIUMS', 0.64], ['PETS', 0.27]]",True,177,53,20:34:35.193957
a fish by a monkey ate John with a man on I with my elephant by the pajamas on an fish by a man,"[['SCIENCE', 0.964268], ['SOCIETY', 0.0193622], ['SPORTS', 0.011765], ['FOOD AND DRINK', 0.000213464], ['HEALTH AND FITNESS', 0.000139465]]","[['AQUARIUMS', 0.64], ['PETS', 0.27]]",True,178,54,20:34:39.123135
a fish by a park ate John with a man on I with my elephant by the pajamas on an fish by a man,"[['SCIENCE', 0.817914], ['SOCIETY', 0.0833252], ['SPORTS', 0.0754022], ['FOOD AND DRINK', 0.0010753], ['PETS', 0.000498088]]","[['AQUARIUMS', 0.64], ['PETS', 0.33]]",False,179,54,20:34:43.172051
a fish by a park ate Mary with a man on I with my elephant by the pajamas on an fish by a man,"[['SCIENCE', 0.900188], ['SPORTS', 0.0699244], ['PETS', 0.000702443], ['FOOD AND DRINK', 0.000616258], ['RELIGION AND SPIRITUALITY', 0.000235004]]","[['AQUARIUMS', 0.64], ['PETS', 0.32]]",False,180,54,20:34:46.819215
a fish by a park ate Bob with a man on I with my elephant by the pajamas on an fish by a man,"[['SCIENCE', 0.786008], ['SPORTS', 0.170373], ['PETS', 0.0011874], ['FOOD AND DRINK', 0.00104172], ['HEALTH AND FITNESS', 0.000512371]]","[['AQUARIUMS', 0.64], ['PETS', 0.32]]",False,181,54,20:34:51.941526
a fish by a park ate Bob with a man on I with my elephant by the pajamas on an fish by my man,"[['SCIENCE', 0.806433], ['SPORTS', 0.122935], ['PETS', 0.00193681], ['FOOD AND DRINK', 0.00168511], ['ARTS AND ENTERTAINMENT', 0.000961516]]","[['AQUARIUMS', 0.64], ['PETS', 0.32]]",False,182,54,20:34:56.946724
a fish by a park ate Bob in a man on I with my elephant by the pajamas on an fish by my man,"[['SCIENCE', 0.845165], ['SPORTS', 0.0942609], ['FOOD AND DRINK', 0.0015128], ['PETS', 0.00147413], ['ARTS AND ENTERTAINMENT', 0.000821112]]","[['AQUARIUMS', 0.64], ['PETS', 0.32]]",False,183,54,20:35:01.724492
a fish by a park killed Bob in a man on I with my elephant by the pajamas on an fish by my man,"[['TRAVEL', 0.672156], ['SCIENCE', 0.284164], ['SPORTS', 0.0224507], ['FOOD AND DRINK', 0.000345613], ['ARTS AND ENTERTAINMENT', 0.000242778]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",True,184,55,20:35:05.754013
a fish by a park killed Bob in a man on I with my elephant on the pajamas on an fish by my man,"[['TRAVEL', 0.622769], ['SCIENCE', 0.324045], ['SPORTS', 0.028716], ['FOOD AND DRINK', 0.000301867], ['PETS', 0.000253396]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",False,185,55,20:35:09.510804
a fish by a park wounded Bob in a man on I with my elephant on the pajamas on an fish by my man,"[['SPORTS', 0.449222], ['SCIENCE', 0.322434], ['ARTS AND ENTERTAINMENT', 0.00374849], ['PETS', 0.00162528], ['TRAVEL', 0.000705265]]","[['AQUARIUMS', 0.63], ['PETS', 0.32]]",False,186,55,20:35:14.638054
a fish by a park killed Bob in a man on I with my elephant on the pajamas on an fish by my man,"[['TRAVEL', 0.622769], ['SCIENCE', 0.324045], ['SPORTS', 0.028716], ['FOOD AND DRINK', 0.000301867], ['PETS', 0.000253396]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",False,186,55,20:35:19.172174
a fish by a park killed Bob in a man on I with my elephant with the pajamas on an fish by my man,"[['TRAVEL', 0.623188], ['SCIENCE', 0.323615], ['SPORTS', 0.0283541], ['FOOD AND DRINK', 0.000346599], ['PETS', 0.000268455]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",False,187,55,20:35:23.501527
a fish in a park killed Bob in a man on I with my elephant with the pajamas on an fish by my man,"[['TRAVEL', 0.664372], ['SCIENCE', 0.313146], ['SPORTS', 0.00915217], ['FOOD AND DRINK', 0.000303267], ['ARTS AND ENTERTAINMENT', 8.73784e-05]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",True,188,56,20:35:27.166470
a fish in a park killed Bob in a man on I with my elephant with the pajamas on an fish outside my man,"[['TRAVEL', 0.642751], ['SCIENCE', 0.310699], ['SPORTS', 0.039269], ['FOOD AND DRINK', 0.000290114], ['HOBBIES AND INTERESTS', 2.51507e-05]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",True,189,57,20:35:30.954766
a fish on a park killed Bob in a man on I with my elephant with the pajamas on an fish outside my man,"[['TRAVEL', 0.544261], ['SCIENCE', 0.313548], ['SPORTS', 0.119006], ['FOOD AND DRINK', 0.000286739], ['HOBBIES AND INTERESTS', 6.314e-05]]","[['AQUARIUMS', 0.63], ['PETS', 0.36]]",True,190,58,20:35:34.825428
a fish on a park saw Bob in a man on I with my elephant with the pajamas on an fish outside my man,"[['SCIENCE', 0.640632], ['SPORTS', 0.250268], ['FOOD AND DRINK', 0.000447874], ['TRAVEL', 0.000272707], ['ARTS AND ENTERTAINMENT', 0.000182709]]","[['AQUARIUMS', 0.65], ['PETS', 0.35]]",True,191,59,20:35:38.656887
a fish on a park wounded Bob in a man on I with my elephant with the pajamas on an fish outside my man,"[['SPORTS', 0.485145], ['SCIENCE', 0.210323], ['PETS', 0.000459171], ['TRAVEL', 0.000426845], ['ARTS AND ENTERTAINMENT', 0.00041168]]","[['AQUARIUMS', 0.63], ['PETS', 0.32]]",False,192,59,20:35:42.209628
a fish on a park ate Bob in a man on I with my elephant with the pajamas on an fish outside my man,"[['SCIENCE', 0.749765], ['SPORTS', 0.145359], ['FOOD AND DRINK', 0.00100898], ['PETS', 0.00014541], ['ARTS AND ENTERTAINMENT', 0.000103055]]","[['AQUARIUMS', 0.64], ['PETS', 0.32]]",False,193,59,20:35:45.888198
a fish on a cat ate Bob in a man on I with my elephant with the pajamas on an fish outside my man,"[['PETS', 0.790567], ['SCIENCE', 0.169167], ['SPORTS', 0.0185729], ['HOBBIES AND INTERESTS', 9.20456e-05], ['HEALTH AND FITNESS', 6.6536e-05]]","[['AQUARIUMS', 0.61], ['PETS', 0.43]]",False,194,59,20:35:49.580208
a fish on a cat ate I in a man on I with my elephant with the pajamas on an fish outside my man,"[['PETS', 0.69135], ['SCIENCE', 0.276518], ['SPORTS', 0.0139901], ['FOOD AND DRINK', 0.000152311], ['HEALTH AND FITNESS', 0.00014746]]","[['AQUARIUMS', 0.63], ['PETS', 0.46]]",False,195,59,20:35:53.297617
